,index,id,symbol,name,image,index,symbol,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,last_updated,price_change_percentage_1y_in_currency,price_change_percentage_200d_in_currency,price_change_percentage_30d_in_currency
58,58,thorchain,rune,THORChain,https://assets.coingecko.com/coins/images/6595/large/RUNE.png?1614160507,58,rune,6.29,1710801413,59,3148036681.0,68115727.0,6.67,6.06,-0.357394134539,-5.37288,-94431507.2766104,-5.23099,271725139.536271,500000000.0,500000000.0,20.87,-69.81582,2021-05-19T00:30:09.436Z,0.00851264,73892.39632,2019-09-28T00:00:00.000Z,2021-07-02T01:24:00.183Z,1503.44365986011,600.752169013297,-45.3516640077562
59,59,waves,waves,Waves,https://assets.coingecko.com/coins/images/425/large/waves.png?1548386117,59,waves,15.99,1598049016,60,,181558660.0,16.19,15.08,-0.034730108315,-0.21669,2694593.0,0.1689,100000000.0,100000000.0,,43.01,-62.84445,2021-05-04T06:49:41.528Z,0.130878,12111.38662,2016-08-02T00:00:00.000Z,2021-07-02T01:24:42.648Z,1288.33135973042,85.451161591969,20.5990908970722
60,60,the-graph,grt,The Graph,https://assets.coingecko.com/coins/images/13397/large/Graph_Token.png?1608145566,60,grt,0.542251,1571390325,61,5422507572.0,73859309.0,0.588772,0.524556,-0.0450677231,-7.67347,-128842008.959411,-7.57791,2897903422.0,10000000000.0,10000000000.0,2.84,-80.91083,2021-02-12T07:28:45.775Z,0.103254,425.32394,2020-12-17T21:28:41.332Z,2021-07-02T01:23:56.449Z,,,-29.3256027987143
61,61,true-usd,tusd,TrueUSD,https://assets.coingecko.com/coins/images/3449/large/tusd.png?1618395665,61,tusd,1.0,1508086588,62,,56980226.0,1.01,0.987615,-0.002740186383,-0.27282,423995.0,0.02812,1505598619.42,1505598619.42,,1.62,-38.10417,2018-08-26T20:41:09.375Z,0.88355,13.3826,2020-03-12T10:47:51.380Z,2021-07-02T01:24:04.774Z,0.164711499282334,0.209137128004335,0.061497531309948
62,62,elrond-erd-2,egld,Elrond,https://assets.coingecko.com/coins/images/12335/large/Elrond.png?1599132180,62,egld,80.25,1441940245,63,,40984761.0,84.8,78.61,-3.900926982032,-4.63587,-62917056.3239667,-4.18093,17969074.0,20397843.0,,243.92,-67.09086,2021-04-12T02:24:35.343Z,6.51,1133.69863,2020-10-07T01:44:53.554Z,2021-07-02T01:24:15.276Z,,375.103119015248,-21.0726757923385
63,63,dash,dash,Dash,https://assets.coingecko.com/coins/images/19/large/dash-logo.png?1548385930,63,dash,139.63,1423502121,65,,476568427.0,145.21,133.78,-5.403081416794,-3.7253,-51733896.0981958,-3.50682,10211472.3278559,18920000.0,,1493.59,-90.66664,2017-12-20T00:00:00.000Z,0.213899,65071.9926,2014-02-14T00:00:00.000Z,2021-07-02T01:24:42.020Z,104.444693419835,43.3147086940929,-27.0018914099987
64,64,sushi,sushi,Sushi,https://assets.coingecko.com/coins/images/12271/large/512x512_Logo_no_chop.png?1606986688,64,sushi,7.45,1417412532,66,1862817169.0,189207353.0,8.08,7.2,-0.632772214785,-7.83139,-111902120.809526,-7.31714,190224321.974633,226418809.109713,250000000.0,23.38,-68.09252,2021-03-13T23:44:36.774Z,0.475381,1469.02249,2020-11-04T14:53:53.560Z,2021-07-02T01:24:40.206Z,,212.40247140881,-38.207769286746
65,65,telcoin,tel,Telcoin,https://assets.coingecko.com/coins/images/1899/large/tel.png?1547036203,65,tel,0.02481407,1413642605,64,,30679579.0,0.03019476,0.02341796,-0.005380689813,-17.81995,-319467474.994836,-18.43319,56969406904.06,100000000000.0,,0.064483,-61.51336,2021-05-11T00:32:24.043Z,6.474e-05,38235.91277,2020-03-13T02:24:47.992Z,2021-07-02T01:20:57.236Z,12894.2890186157,15102.3082613884,-21.4349197183639
66,66,zcash,zec,Zcash,https://assets.coingecko.com/coins/images/486/large/circle-zcash-color.png?1547034197,66,zec,121.38,1367012237,67,2549865214.0,901718467.0,130.05,118.71,-8.394158187699,-6.46804,-87957083.1759946,-6.04529,11258342.9179315,21000000.0,21000000.0,3191.93,-96.19537,2016-10-29T00:00:00.000Z,19.75,514.77807,2020-03-13T02:20:55.002Z,2021-07-02T01:24:23.250Z,134.430256816662,78.4162746524402,-21.1467536927669
67,67,huobi-btc,hbtc,Huobi BTC,https://assets.coingecko.com/coins/images/12407/large/Unknown-5.png?1599624896,67,hbtc,34079.0,1359954915,68,1359954915.0,18850477.0,35029.0,33041.0,-843.407699898002,-2.41511,-33657337.2533519,-2.41511,39906.36705999,39906.36705999,39906.36705999,69325.0,-50.84225,2021-05-10T02:33:06.038Z,11209.02,204.02873,2020-10-12T03:56:16.768Z,2021-07-02T01:14:39.000Z,,77.7979129118815,-7.10977319703285
68,68,chiliz,chz,Chiliz,https://assets.coingecko.com/coins/images/8834/large/Chiliz.png?1561970540,68,chz,0.241044,1288062281,69,2142459606.0,165443840.0,0.254705,0.237405,-0.01203965758,-4.75719,-60917293.5571444,-4.51581,5344064580.0,8888888888.0,8888888888.0,0.878633,-72.56098,2021-03-13T08:04:21.200Z,0.00410887,5767.50435,2019-09-28T00:00:00.000Z,2021-07-02T01:24:41.876Z,1921.95788190474,1815.68457121792,-11.9075674928129
69,69,staked-ether,steth,Lido Staked Ether,https://assets.coingecko.com/coins/images/13442/large/steth_logo.png?1608607546,233,steth,2018.29,129818261,234,,3436.11,2138.18,2038.33,-119.88201517778,-5.60674,-7694973.53379925,-5.59581,64320.8000863303,64320.8000863303,,3862.01,-47.73983,2021-05-10T06:51:13.729Z,1261.27,60.02033,2021-02-28T15:36:14.348Z,2021-07-01T18:49:23.161Z,,,
70,69,staked-ether,steth,Lido Staked Ether,https://assets.coingecko.com/coins/images/13442/large/steth_logo.png?1608607546,69,steth,2131.51,1241409920,70,1241409920.0,44565730.0,2266.36,2089.49,-121.943635893759,-5.41142,-11067687.9585781,-0.88366,582409.730338639,582409.730338639,582409.730338639,4309.29,-50.53695,2021-05-12T09:57:17.253Z,482.9,341.40062,2020-12-22T04:08:21.854Z,2021-07-02T01:14:39.890Z,,,-18.9487271428391
71,70,nem,xem,NEM,https://assets.coingecko.com/coins/images/242/large/NEM_Logo_256x256.png?1598687029,70,xem,0.129319,1165040790,71,,94726220.0,0.136858,0.12526,-0.007538637816,-5.50837,-58593161.1906686,-4.78846,8999999999.0,8999999999.0,,1.87,-93.07218,2018-01-07T00:00:00.000Z,8.482e-05,152522.03698,2015-09-05T00:00:00.000Z,2021-07-02T01:24:31.129Z,201.427883611809,-48.6646382442216,-32.1521449270685
72,71,yearn-finance,yfi,yearn.finance,https://assets.coingecko.com/coins/images/11849/large/yfi-192x192.png?1598325330,71,yfi,32154.0,1146582431,72,1179633884.0,202419262.0,34136.0,31663.0,-1889.48759050909,-5.55024,-61671972.2347827,-5.10422,35638.6773730505,36666.0,36666.0,90787.0,-64.55933,2021-05-12T00:29:37.713Z,31.65,101575.89627,2020-07-18T12:26:27.150Z,2021-07-02T01:24:41.371Z,,22.086381672094,-28.8341121687602
73,72,helium,hnt,Helium,https://assets.coingecko.com/coins/images/4284/large/Helium_HNT.png?1612620071,72,hnt,12.73,1127306245,73,2841394416.0,12545732.0,13.35,12.32,0.102586,0.81269,16111782.0,1.44995,88473916.6037365,223000000.0,223000000.0,22.31,-42.88517,2021-05-28T17:33:24.441Z,0.113248,11151.16359,2020-04-18T00:19:10.902Z,2021-07-02T01:24:14.239Z,2781.33363730321,915.229166685923,-16.4561532969616
74,73,havven,snx,Synthetix Network Token,https://assets.coingecko.com/coins/images/3406/large/SNX.png?1598631139,73,snx,6.92,1092591109,74,1585297576.0,38807816.0,7.32,6.66,-0.397078219534,-5.42793,-61339947.4394491,-5.31574,157868250.826201,229059300.715179,229059300.715179,28.53,-75.7361,2021-02-14T01:12:38.505Z,0.0347864,19801.58647,2019-01-06T00:00:00.000Z,2021-07-02T01:24:33.597Z,198.976442583872,46.3876468137147,-45.5925338551701
75,74,xdce-crowd-sale,xdc,XDC Network,https://assets.coingecko.com/coins/images/2912/large/xdc-logo.png?1589242157,74,xdc,0.088929,1088328021,75,,17434218.0,0.089967,0.081057,0.00704732,8.60669,88373098.0,8.83771,12238141964.0,37599520715.0,,0.144432,-38.30064,2021-04-15T14:54:04.324Z,0.00039532,22442.23713,2019-07-22T00:00:00.000Z,2021-07-02T01:22:15.326Z,2571.62675059406,1238.86115765021,54.5042287075683
76,75,holotoken,hot,Holo,https://assets.coingecko.com/coins/images/3348/large/Holologo_Profile.png?1547037966,75,hot,0.00597596,1061665685,77,,72928693.0,0.00619091,0.00581879,-0.000201178582,-3.25682,-31981365.4250982,-2.92429,177619433541.141,177619433541.141,,0.03126682,-80.87648,2021-04-05T16:04:52.608Z,0.0002202,2615.41681,2020-03-13T02:23:01.612Z,2021-07-02T01:24:39.126Z,991.470256657798,967.364099118691,-30.2098690073144
77,76,enjincoin,enj,Enjin Coin,https://assets.coingecko.com/coins/images/1102/large/enjin-coin-logo.png?1547035078,76,enj,1.14,1061452520,76,1136056047.0,220089160.0,1.23,1.09,-0.065860673189,-5.47264,-64271211.3883216,-5.70932,934331121.399019,1000000000.0,1000000000.0,3.94,-71.1864,2021-04-09T12:29:27.777Z,0.01865964,5988.32972,2017-11-12T00:00:00.000Z,2021-07-02T01:24:19.606Z,559.912316379352,695.488938102252,-27.6354907340353
78,77,zilliqa,zil,Zilliqa,https://assets.coingecko.com/coins/images/2687/large/Zilliqa-logo.png?1547036894,77,zil,0.083152,1013613388,78,,90698724.0,0.087682,0.080625,-0.004241629472,-4.85347,-48630371.7559922,-4.57808,12190935092.314,21000000000.0,,0.255376,-67.44119,2021-05-06T17:33:45.940Z,0.00239616,3370.02562,2020-03-13T02:22:55.161Z,2021-07-02T01:24:41.813Z,378.406986154596,155.265751867015,-29.6465194854763
79,78,near,near,Near,https://assets.coingecko.com/coins/images/10365/large/near_icon.png?1601359077,78,near,2.15,886599859,79,2154686467.0,52179631.0,2.18,1.93,0.087849,4.25042,36827181.0,4.33377,411475113.606369,1000000000.0,1000000000.0,7.56,-71.48964,2021-03-13T17:49:31.011Z,0.526762,309.04328,2020-11-04T16:09:15.137Z,2021-07-02T01:22:06.062Z,,126.616758729434,-33.4840614247387
80,79,basic-attention-token,bat,Basic Attention Token,https://assets.coingecko.com/coins/images/677/large/basic-attention-token.png?1547034427,79,bat,0.586669,879523495,80,880519422.0,73788406.0,0.614877,0.562784,-0.027182658367,-4.42821,-38298331.9881195,-4.17274,1498303398.96735,1500000000.0,1500000000.0,1.63,-64.01363,2021-04-09T19:03:22.356Z,0.072394,710.93829,2017-07-16T00:00:00.000Z,2021-07-02T01:24:31.506Z,128.868235785866,175.711505506423,-21.5987196952403
81,80,quant-network,qnt,Quant,https://assets.coingecko.com/coins/images/3370/large/5ZOu7brX_400x400.jpg?1612437252,80,qnt,68.13,877195230,81,995599241.0,9994275.0,71.98,67.07,-2.430926620231,-3.44498,-27685683.0312952,-3.05959,12874667.4692892,14612493.0,14612493.0,98.55,-30.84891,2021-06-25T15:54:41.569Z,0.215773,31483.03586,2018-08-23T00:00:00.000Z,2021-07-02T01:22:14.921Z,781.924782324481,412.858715678673,52.4417513371719
82,81,bitcoin-gold,btg,Bitcoin Gold,https://assets.coingecko.com/coins/images/1043/large/bitcoin-gold-logo.png?1547034978,81,btg,48.44,856912713,82,,50246428.0,52.64,46.95,-3.555322675018,-6.83782,-49522362.5316463,-5.46342,17513924.0,21000000.0,,456.25,-89.27607,2017-12-20T00:00:00.000Z,4.25,1050.03209,2020-03-13T02:22:52.902Z,2021-07-02T01:24:37.421Z,365.447291246693,449.43166418659,-16.3687475927974
83,82,blockstack,stx,Stacks,https://assets.coingecko.com/coins/images/2069/large/Stacks_logo_full.png?1604112510,82,stx,0.811262,853902910,83,,14132029.0,0.835641,0.733365,0.00676711,0.84116,34041863.0,4.15215,1052561461.68777,1818000000.0,,2.92,-72.19761,2021-04-05T13:34:27.931Z,0.04559639,1679.73818,2020-03-13T02:29:26.415Z,2021-07-02T01:22:00.830Z,502.69792873777,150.235547365685,-17.008765685484
84,83,mdex,mdx,Mdex,https://assets.coingecko.com/coins/images/13775/large/mdex.png?1611739676,83,mdx,1.64,837457083,84,,68907772.0,1.68,1.6,-0.038029392977,-2.27291,-15545020.9137328,-1.82239,512165332.42851,452988758.45796,,10.11,-83.8338,2021-02-22T07:08:38.957Z,1.44,13.6824,2021-06-22T14:11:14.744Z,2021-07-02T01:22:57.046Z,,,-33.7001717662342
85,84,paxos-standard,pax,Paxos Standard,https://assets.coingecko.com/coins/images/6013/large/paxos_standard.png?1548386291,84,pax,1.0,821554977,85,,45005047.0,1.01,0.989044,-0.003195294664,-0.31801,-21794367.5620682,-2.58426,820274244.72,820274244.72,,1.13,-11.17286,2018-10-15T07:09:12.459Z,0.863529,15.99856,2021-05-19T13:14:42.046Z,2021-07-02T01:24:02.840Z,0.152400510683739,-1.75950784585434,-0.039248815501913
86,85,nexo,nexo,NEXO,https://assets.coingecko.com/coins/images/3695/large/nexo.png?1548086057,85,nexo,1.37,767602036,86,1370717897.0,6210955.0,1.5,1.29,-0.113347007785,-7.6376,-62259751.2100997,-7.50242,560000010.0064,1000000000.0,1000000000.0,4.07,-66.30478,2021-05-12T14:37:47.535Z,0.04515276,2935.71996,2018-09-13T00:00:00.000Z,2021-07-02T01:21:58.687Z,498.007562347904,160.829409267518,-30.1953334205526
87,86,liquity-usd,lusd,Liquity USD,https://assets.coingecko.com/coins/images/14666/large/Group_3.png?1617631327,86,lusd,1.02,755571830,87,,2733698.0,1.03,0.999748,-0.002832641523,-0.27797,6910691.0,0.92307,743521871.293024,743521871.293024,,1.16,-12.26929,2021-04-05T14:47:52.665Z,0.925652,9.78284,2021-05-21T14:38:31.217Z,2021-07-02T01:14:41.965Z,,,-0.823800413879692
88,87,qtum,qtum,Qtum,https://assets.coingecko.com/coins/images/684/large/qtum.png?1547034438,87,qtum,7.2,745903325,88,,245640335.0,7.54,6.87,-0.341557769443,-4.53034,-30809409.9079885,-3.96664,103529529.0,107822406.0,,100.22,-92.81136,2018-01-06T00:00:00.000Z,0.783142,819.97857,2020-03-13T02:22:57.149Z,2021-07-02T01:24:32.106Z,334.266567706729,182.148834223023,-39.4446332126816
89,88,decentraland,mana,Decentraland,https://assets.coingecko.com/coins/images/878/large/decentraland-mana.png?1550108745,88,mana,0.54905,729361654,89,1205677217.0,41729613.0,0.600101,0.523615,-0.039667693161,-6.73798,-41432634.814713,-5.37532,1327372145.98648,2194223327.32015,2194223327.32015,1.6,-65.58532,2021-05-07T15:54:15.763Z,0.00923681,5848.78554,2017-10-31T00:00:00.000Z,2021-07-02T01:24:19.264Z,1338.05399528951,545.299505176302,-33.877233335942
90,89,zencash,zen,Horizen,https://assets.coingecko.com/coins/images/691/large/horizen.png?1555052241,89,zen,63.89,719438655,90,,43800926.0,67.1,61.04,-3.092386356841,-4.61658,-29652216.7104187,-3.95843,11252918.75,21000000.0,,165.92,-61.46157,2021-05-08T06:00:30.087Z,3.26,1858.70013,2019-10-17T00:00:00.000Z,2021-07-02T01:24:31.304Z,834.123696337695,480.741421120376,-39.442011287972
91,90,bancor,bnt,Bancor Network Token,https://assets.coingecko.com/coins/images/736/large/bancor.png?1547034477,90,bnt,3.19,714187669,91,714187669.0,51330270.0,3.36,3.12,-0.146810666846,-4.39374,-28175584.8056208,-3.79539,223463171.719782,223463171.719782,223463171.719782,10.72,-70.17389,2018-01-09T00:00:00.000Z,0.120935,2542.73532,2020-03-13T02:29:21.245Z,2021-07-02T01:24:00.238Z,162.47759538331,206.641269332959,-30.9798191940878
92,91,harmony,one,Harmony,https://assets.coingecko.com/coins/images/4344/large/Y88JAze.png?1565065793,91,one,0.063852,659283865,92,,19913162.0,0.066634,0.061355,-0.002512546693,-3.786,-23717939.9479291,-3.4726,10302860653.7931,,,0.222092,-71.18748,2021-03-29T08:19:36.363Z,0.00127355,4924.55852,2020-03-13T02:24:14.005Z,2021-07-02T01:24:15.464Z,1267.71406755944,1068.38059495579,-34.7404529411693
93,92,digibyte,dgb,DigiByte,https://assets.coingecko.com/coins/images/63/large/digibyte.png?1547033717,92,dgb,0.04535972,655701538,93,,16034079.0,0.04870083,0.04342806,-0.003222094866,-6.63231,-42863298.3013184,-6.13591,14451276901.2498,21000000000.0,,0.178084,-74.51724,2021-05-01T00:19:01.967Z,3.099e-05,146352.89668,2015-01-14T00:00:00.000Z,2021-07-02T01:24:00.205Z,123.323636327225,125.159840020066,-30.9639007892059
94,93,nano,nano,Nano,https://assets.coingecko.com/coins/images/756/large/nano-coin-logo.png?1547034501,93,nano,4.87,648709418,94,,26391688.0,5.12,4.67,-0.234315432725,-4.59327,-26211283.4400492,-3.88361,133248290.0,133248290.0,,33.69,-85.54988,2018-01-02T00:00:00.000Z,0.026179,18498.03475,2017-07-16T00:00:00.000Z,2021-07-02T01:24:41.650Z,404.833594079642,349.703004080464,-31.9263881535344
95,94,siacoin,sc,Siacoin,https://assets.coingecko.com/coins/images/289/large/siacoin.png?1548386465,94,sc,0.01333381,642811797,95,,65715716.0,0.01340597,0.0125337,0.00013631,1.03281,13992548.0,2.22521,48135615000.0,,,0.092868,-85.62022,2018-01-06T00:00:00.000Z,1.262e-05,105707.21623,2015-12-28T00:00:00.000Z,2021-07-02T01:24:42.572Z,335.197907253316,304.249825393719,-23.0066452563841
96,95,bitcoin-cash-abc-2,bcha,Bitcoin Cash ABC,https://assets.coingecko.com/coins/images/13120/large/Logo_final-21.png?1624892810,95,bcha,33.69,632484128,96,,61120463.0,37.83,32.79,-1.257448661031,-3.59775,-22655518.85337,-3.45812,18771708.3967894,21000000.0,,57.59,-41.47654,2021-05-10T00:50:43.461Z,9.21,265.93708,2020-11-15T18:28:32.658Z,2021-07-02T01:23:14.955Z,,70.8083704236512,88.3447631923107
97,96,ontology,ont,Ontology,https://assets.coingecko.com/coins/images/3447/large/ONT.png?1583481820,96,ont,0.712107,619599185,97,,155666787.0,0.738402,0.683477,-0.023410998231,-3.18293,-19140676.546059,-2.99663,870088540.0,1000000000.0,,10.92,-93.48853,2018-05-03T01:43:05.844Z,0.23237,206.01162,2020-03-13T02:20:48.548Z,2021-07-02T01:24:31.496Z,22.2404490715533,37.389797927021,-36.0755486491323
98,97,compound-usdt,cusdt,cUSDT,https://assets.coingecko.com/coins/images/11621/large/cUSDT.png?1592113270,97,cusdt,0.02126712,610108545,98,,9770479.0,0.02152496,0.02071874,-6.1849215e-05,-0.28998,-10405235.3391657,-1.67687,28687884769.1056,28687884769.1056,,0.02342332,-9.20539,2021-05-19T15:22:06.410Z,0.0102836,106.80619,2020-07-04T17:59:08.922Z,2021-07-02T01:16:16.608Z,5.7395856099475,4.17397708448925,0.159306001651754
99,98,curve-dao-token,crv,Curve DAO Token,https://assets.coingecko.com/coins/images/12124/large/Curve.png?1597369484,98,crv,1.71,602430293,99,5648324924.0,125048419.0,1.86,1.66,-0.124092652145,-6.76584,-37667952.5206587,-5.88471,352289490.740138,1537500089.14513,3303030299.0,54.01,-96.83356,2020-08-14T04:53:44.010Z,0.331577,415.73867,2020-11-05T13:09:50.181Z,2021-07-02T01:24:38.282Z,,177.932912673081,-16.7680417461505
100,99,omisego,omg,OMG Network,https://assets.coingecko.com/coins/images/776/large/OMG_Network.jpg?1591167168,99,omg,4.2,589290002,100,589290002.0,175479819.0,4.42,4.06,-0.15227656309,-3.49748,-19666230.1302267,-3.2295,140245398.245133,140245398.245133,140245398.245133,25.62,-83.59613,2018-01-13T00:00:00.000Z,0.350917,1097.65761,2020-03-13T02:30:10.072Z,2021-07-02T01:24:29.152Z,186.068319991978,28.0833924717439,-33.8990628345757
101,100,0x,zrx,0x,https://assets.coingecko.com/coins/images/863/large/0x.png?1547034672,100,zrx,0.693876,586609130,101,693946129.0,76907912.0,0.763263,0.676539,-0.066181137841,-8.70739,-52831340.7165076,-8.26212,845323730.64351,1000000000.0,1000000000.0,2.5,-72.18952,2018-01-13T00:00:00.000Z,0.120667,475.47913,2020-03-13T02:27:49.563Z,2021-07-02T01:24:31.647Z,106.087417106678,75.2828755475991,-32.3105901336112
102,101,xsushi,xsushi,xSUSHI,https://assets.coingecko.com/coins/images/13725/large/xsushi.png?1612538526,101,xsushi,8.76,574662150,102,,1760076.0,9.39,8.46,-0.583861080715,-6.2516,-30924280.4778004,-5.1065,65634184.1849715,65634184.1849715,,26.33,-66.74698,2021-03-13T23:01:02.266Z,6.04,44.93269,2021-01-22T01:04:22.350Z,2021-07-02T01:15:23.614Z,,,-36.4512783570278
103,102,fantom,ftm,Fantom,https://assets.coingecko.com/coins/images/4001/large/Fantom.png?1558015016,102,ftm,0.225533,573193536,103,716166901.0,59438287.0,0.241184,0.220782,-0.013845586412,-5.78396,-33875247.5116177,-5.58013,2541152731.01,3175000000.0,3175000000.0,0.948213,-76.22321,2021-05-10T00:15:01.969Z,0.00190227,11751.87563,2020-03-13T02:25:38.280Z,2021-07-02T01:23:57.366Z,3690.13380557988,1037.39459147238,-27.3300304683326
104,103,uma,uma,UMA,https://assets.coingecko.com/coins/images/10951/large/UMA.png?1586307916,103,uma,9.15,564565303,104,948427557.0,20265804.0,9.8,9.07,-0.620444229807,-6.34987,-37366015.041714,-6.20769,61672435.9535306,103605087.839497,103605087.839497,41.56,-77.96657,2021-02-04T11:27:11.433Z,0.303625,2915.62358,2020-04-29T17:00:41.760Z,2021-07-02T01:24:15.351Z,338.081968763459,21.8012702645987,-32.4820032118998
105,104,nxm,nxm,Nexus Mutual,https://assets.coingecko.com/coins/images/11810/large/nexus-mutual.jpg?1594547726,104,nxm,81.6,563711718,105,563711718.0,21388.0,86.74,80.09,-5.146907015638,-5.9335,-31480440.8558165,-5.28912,6908545.31564791,6908545.31564791,6908545.31564791,165.38,-50.65984,2021-05-12T14:56:42.518Z,6.96,1071.87156,2020-07-22T19:54:06.406Z,2021-07-02T01:14:29.478Z,,260.023370232279,-18.9619714080285
106,105,gatechain-token,gt,GateToken,https://assets.coingecko.com/coins/images/8183/large/gt.png?1556085624,105,gt,3.38,559669334,106,,4485705.0,3.49,3.25,-0.090999075021,-2.62352,-14667517.3327985,-2.55382,165700942.509514,300000000.0,,12.94,-73.83411,2021-05-12T11:39:16.531Z,0.25754,1214.88283,2020-03-13T02:18:02.481Z,2021-07-02T01:22:04.287Z,590.377489639965,665.188088206608,-24.8577872418546
107,106,kucoin-shares,kcs,KuCoin Token,https://assets.coingecko.com/coins/images/1047/large/sa9z79.png?1610678720,106,kcs,7.14,558865097,107,,8882639.0,7.42,6.91,-0.25916461285,-3.50179,-16579622.8088701,-2.88118,78253127.0,168253127.0,,20.17,-64.51121,2018-01-10T00:00:00.000Z,0.342863,1987.47073,2019-02-07T00:00:00.000Z,2021-07-02T01:20:14.703Z,696.176918555334,782.313768475951,-3.52986847177948
108,107,husd,husd,HUSD,https://assets.coingecko.com/coins/images/9567/large/HUSD.jpg?1568889385,107,husd,0.998134,553652825,109,,44972760.0,1.02,0.98976,-0.0084321483,-0.83771,-17363169.6645759,-3.04075,553896004.919194,553896004.919194,,1.25,-20.34186,2020-03-13T02:40:09.956Z,0.816264,22.45567,2021-05-19T13:19:21.156Z,2021-07-02T01:24:01.127Z,-0.211472867934786,-0.375108780618108,-0.344999774792751
109,108,swissborg,chsb,SwissBorg,https://assets.coingecko.com/coins/images/2117/large/YJUrRy7r_400x400.png?1589794215,108,chsb,0.580117,552128830,108,,2288566.0,0.628929,0.562686,-0.039907183914,-6.43639,-36248397.4171681,-6.16074,951754603.474276,1000000000.0,,1.64,-64.62441,2021-05-04T17:14:50.120Z,0.00502687,11440.31171,2019-07-28T00:00:00.000Z,2021-07-02T01:20:37.791Z,423.914679390538,400.391535126925,-29.4598722188517
110,109,ethos,vgx,Voyager Token,https://assets.coingecko.com/coins/images/794/large/Voyager-vgx.png?1575693595,109,vgx,2.4,534172545,110,,2634935.0,2.51,2.27,-0.081602064472,-3.28433,-18139747.9144304,-3.28433,222295208.238453,222295208.238453,,12.47,-80.73652,2018-01-06T00:00:00.000Z,0.01689847,14120.14894,2019-12-26T22:10:32.136Z,2021-07-02T01:17:25.543Z,4621.51231407051,1424.93787410862,-2.71698322618154
111,110,ankr,ankr,Ankr,https://assets.coingecko.com/coins/images/4324/large/U85xTl2.png?1608111978,110,ankr,0.074694,522710218,111,747130977.0,25808181.0,0.079312,0.072805,-0.004423864254,-5.59148,-29583990.2174293,-5.35656,6996232711.125,10000000000.0,10000000000.0,0.213513,-64.97408,2021-04-16T19:44:04.474Z,0.00070728,10473.56403,2020-03-13T02:24:03.563Z,2021-07-02T01:24:08.321Z,2160.24164145523,753.610858059005,-31.2297240834171
112,111,iostoken,iost,IOST,https://assets.coingecko.com/coins/images/2523/large/IOST.png?1557555183,111,iost,0.02293671,519137064,112,2066230520.0,118030212.0,0.02302834,0.02075932,0.000608,2.72297,17366777.0,3.4611,22612353918.4275,22612353918.4275,90000000000.0,0.129829,-82.26526,2018-01-24T00:00:00.000Z,0.00160309,1336.2752,2020-03-13T02:25:35.257Z,2021-07-02T01:24:42.981Z,303.053501223081,290.070943799433,-26.9343835299039
113,112,icon,icx,ICON,https://assets.coingecko.com/coins/images/1060/large/icon-icx-logo.png?1547035003,112,icx,0.812023,517764624,113,,47723413.0,0.845695,0.776476,-0.026787783488,-3.19354,-7485079.11735243,-1.42505,637611706.892829,800460000.0,,13.16,-93.8301,2018-01-09T00:00:00.000Z,0.107465,655.81261,2020-01-03T02:14:53.139Z,2021-07-02T01:24:15.187Z,171.422213958363,110.039366492735,-28.2969311998754
114,113,ravencoin,rvn,Ravencoin,https://assets.coingecko.com/coins/images/3412/large/ravencoin.png?1548386057,113,rvn,0.05458,497663275,114,,31490070.0,0.05621,0.052634,-0.001629350522,-2.89869,-12729807.1687456,-2.49412,9115035000.0,21000000000.0,,0.285218,-80.85177,2021-02-20T11:19:07.791Z,0.00893232,511.42228,2020-03-13T02:30:00.004Z,2021-07-02T01:24:40.052Z,188.890718422744,296.928658785164,-32.4410454530286
115,114,wazirx,wrx,WazirX,https://assets.coingecko.com/coins/images/10547/large/WazirX.png?1580834330,114,wrx,1.14,495150060,115,,10469928.0,1.2,1.12,-0.049099027952,-4.13584,-19172906.2078307,-3.7278,435082342.0,1000000000.0,,5.88,-80.64084,2021-04-05T06:58:37.399Z,0.04757088,2292.34723,2020-02-05T07:19:43.950Z,2021-07-02T01:20:46.022Z,753.985173433813,1424.35800147192,-38.0578042190952
116,115,arweave,ar,Arweave,https://assets.coingecko.com/coins/images/4343/large/oRt6SiEN_400x400.jpg?1591059616,115,ar,10.92,478672419,116,720865632.0,24129775.0,11.87,10.11,0.674114,6.57795,29278516.0,6.51511,43825615.0,66000000.0,66000000.0,44.42,-75.39864,2021-05-14T11:09:43.215Z,0.298788,3557.6138,2020-01-31T06:47:36.543Z,2021-07-02T01:22:04.148Z,666.155655140676,375.7620378683,-28.611658446094
117,116,flow,flow,Flow,https://assets.coingecko.com/coins/images/13446/large/flow_logo.jpg?1608631239,116,flow,9.31,462809836,117,,23800131.0,9.79,8.88,-0.405408180733,-4.17408,-11279522.3262184,-2.3792,49726487.9099542,1364726487.90995,,42.4,-78.0478,2021-04-05T13:49:10.098Z,4.95,88.0224,2021-01-27T15:34:04.000Z,2021-07-02T01:24:42.109Z,,,-30.709512677735
